FS_PERM_SEC_ID,FF_MKT_VAL_CURR,DATE,FF_FPNC,FF_SALES,FF_OPER_EXP_TOT,FF_CASH_ST,FF_CASH_ONLY,FF_INVEN,FF_ASSETS_CURR,FF_INTANG,FF_ASSETS,FF_LIABS_CURR,FF_DEBT_ST,FF_PAY_ACCT,FF_DEBT_LT,FF_COM_EQ,FF_DEBT,FF_SHLDRS_EQ,FF_WKCAP_CHG,FF_DIV_CF,FF_BPS,FF_COM_SHS_OUT,FF_PPE_NET,FF_RECEIV_ST,FF_DIV_PAY_OUT_PS,FF_AMORT_CF,FF_COM_EQ_RETAIN_EARN,FF_DEP_EXP,FF_GW,FF_PENS_EXP_NPP_NET,FF_DEBT_ST_NOTES_PAY,FF_DIV_COM_CF,FF_DEBT_LT_REDUCT_CF,FF_COGS_XDEP,FF_DEP_AMORT_EXP,FF_RD_EXP,FF_COGS,FF_INT_EXP_NET,FF_NET_INC,FF_LIABS,FF_OPER_CF,FF_CAPEX,FF_EBITDA_OPER,FF_SGA,FF_EBIT_OPER,FF_WKCAP
XQ65QM-S-US,7.4048,20101231,201012,244.57,216.005,203.953,176.723,0,,3.189,2993.432,,41.533,,1796.644,752.6385,1838.177,918.096,-32.822,13.641,21.32109,35.30018646998,,37.138,2.65486725663717,2.612,-647.11,27.832,0,,,0,81.576,85.556,30.444,,116,91.142,111.47,2074.902,15.448,0,150.151,16.442,119.707,
W39SDC-S-US,6.5693,20100331,201003,1.777736,3.655275,1.84423,1.82278,0,2.502996,0,24.798707,6.652279,2.15,1.391446,0,17.819016,2.15,17.819016,0.385939,0,870.04739,0.020480512,22.238196,0.244164,0,0,-2.783909,0.78734,0,,,0,0.5,1.048333,0.78734,,1.835673,0.301787,-2.320717,6.979691,-0.717967,1.986677,-1.0902,1.69017,-1.87754,-4.149283
RLHCJH-S-CA,110.861,20101231,201012,73.451,88.945,1.381,1.381,0.261,,0.718,347.954,,62.823,,174.045,96.224,236.868,96.224,1.988,0,98.35029,0.9783804,313.374,9.36,0,0.181,-40.893,12.805,0,,,0,14.373,47.696,12.986,,60.682,18.908,-19.907,251.73,2.85,3.594,-2.508,,-15.494,
K00TGX-S-CA,,20101231,201012,0.962856,0.63993,0.069297,0.069297,0,,0,0.139616,,0,,0,-0.147719,0,-0.147719,0.181898,0.339863,-0.06895,2.142289,0,0.020319,,0,-2.79194,0,0,,,0,0,,0,,,0,0.322926,0.287335,0.639782,0,0.32293,,0.32293,
T8L7G0-S-CA,,20101231,201012,0,0.675431,0.474101,0,0,0.758122,0,1.886318,0.058984,,0.058984,0,1.827334,0,1.827334,-0.011822,0,0.03469,52.672545,0.246596,0.284021,0,0,-3.155766,0,0,,,0,0,0,0,0,0,0,-0.6738,0.058984,-0.310408,0.324981,-0.67543,0.569353,-0.67543,0.699138
RRP8DH-S,,20101231,201012,5149.5,2545.296,2268.886,2192.677,504.937,3702.957,178.071,8128.019,1139.018,10,558.661,2750.401,3890.448,2760.401,3890.448,62.623,1427.998,4.52854,859.095017,4094.993,748.029,,43.64,3595.983,279.6,17,0,,1427.998,10,2133.751,323.24,,2456.991,160.487,1554.051,4217.61,1920.711,408.734,2927.444,88.305,2604.204,2563.939
LM1DT3-S-US,,20100331,201003,108.218,100.664,0.943,0.943,2.08,8.792,22.945,147.967,26.241,4.728,7.864,57.924,36.578,62.652,51.478,-4.478,0,2.72875,13.404649,98.479,4.081,0,1.823,-28.421,9.217,10.193,,,0,4.556,,13.066,,,5.533,2.743,96.489,12.064,5.468,20.62,9.668,7.554,-17.449
JLDSPY-S-US,,20100930,201009,770.276,655.489,252.47,252.47,74.027,457.691,1019.187,1592.937,160.085,2.935,42.737,367.801,805.411,370.736,805.411,7.271,0,14.56292,55.305581,102.686,86.485,0,60.844,181.846,21.88,656.465,2.322,,0,78.072,288.542,82.724,46.365,371.266,11.77,89.989,785.304,175.669,24.814,197.511,282.568,114.787,297.606
NGYPTY-S-CA,4.39506,20100930,201009,0.045328,0.752451,0.705303,0.676553,0,0.789941,0,1.862515,0.502118,0.257413,0.244705,0,1.31099,0.257413,1.31099,-0.002642,0,0.31695,4.1362085,1.072574,0.084638,0,0,-4.602833,0.039105,0,,,0,0,0.195665,0.039105,0,0.23477,0.029117,-0.737026,0.551525,-0.488492,0.681345,-0.66802,0.28467,-0.70712,0.287823
BDQ7Y0-S-US,,20101231,201012,0,0.034661,0.001455,,0,0.001455,0,0.001455,0.552332,0.311125,0.185803,0,-0.550877,0.311125,-0.550877,-0.005848,0,-0.43466,1.267368,0,0,0,0,-6.448419,0,0,,,0,0,0,0,0,0,0.10631,-0.140971,0.552332,-0.040509,0,-0.03466,0.034661,-0.03466,-0.550877
